shot_num,quarter,game_clock,time_elapsed_s,shot_clock,shooter_name,shooter_team,shooter_player_id,shot_type,zone,shot_quality,nearest_def_dist,ball_x,ball_y,ball_z_at_release,shooter_x,shooter_y
64,2,Q2 5:37.55,1102.45,4.66,Wayne Ellington,BKN,201961,2pt_jump_shot,straight_up_2,3.3461,3.385,24.863,33.771,11.178,24.258,32.972
65,2,Q2 5:08.33,1131.67,5.42,Jae Crowder,BOS,203109,2pt_jump_shot,straight_up_2,3.2199,2.88,66.694,29.823,10.595,67.304,30.87
66,2,Q2 4:49.71,1150.29,6.83,Brook Lopez,BKN,201572,layup,low_paint,7.763,2.805,9.043,25.59,10.244,9.963,25.988
67,2,Q2 4:33.72,1166.28,9.28,Jae Crowder,BOS,203109,2pt_jump_shot,baseline_2,2.6603,2.898,83.021,38.561,7.329,81.944,37.953
68,2,Q2 4:32.51,1167.49,8.08,Amir Johnson,BOS,101161,layup,low_paint,7.7536,2.789,89.237,23.92,10.13,90.515,24.349
69,2,Q2 4:23.36,1176.64,15.95,Willie Reed,BKN,203186,layup,low_paint,8.2713,3.643,10.648,24.176,8.751,9.759,24.714
70,2,Q2 4:22.71,1177.29,15.36,Brook Lopez,BKN,201572,2pt_jump_shot,low_paint,7.275,1.732,6.502,21.157,12.969,7.323,22.398
71,2,Q2 3:46.66,1213.34,9.11,David Lee,BOS,101135,2pt_jump_shot,low_paint,7.9312,3.082,82.723,22.36,11.804,83.782,22.317
72,2,Q2 3:24.67,1235.33,10.54,Amir Johnson,BOS,101161,2pt_jump_shot,low_paint,7.275,1.361,83.687,25.07,8.879,83.538,26.478
73,2,Q2 3:23.19,1236.81,24.0,David Lee,BOS,101135,layup,low_paint,7.275,1.984,89.445,23.346,10.164,89.159,23.962
74,2,Q2 3:06.74,1253.26,8.1,Evan Turner,BOS,202323,2pt_jump_shot,baseline_2,2.4875,2.061,87.452,36.16,15.516,86.332,35.311
75,2,Q2 3:05.58,1254.42,24.0,Evan Turner,BOS,202323,layup,low_paint,7.7057,2.71,88.666,28.112,11.308,87.585,28.407
76,2,Q2 2:58.28,1261.72,16.33,Amir Johnson,BOS,101161,2pt_jump_shot,high_paint,3.9,6.551,75.648,21.866,13.439,76.614,20.804
77,2,Q2 2:36.33,1283.67,8.29,Amir Johnson,BOS,101161,2pt_jump_shot,baseline_2,2.7731,3.445,88.037,38.055,11.094,87.877,36.999
78,2,Q2 2:00.68,1319.32,9.85,David Lee,BOS,101135,2pt_jump_shot,baseline_2,2.857,3.852,88.137,44.132,10.852,87.116,43.585
79,2,Q2 1:59.02,1320.98,8.25,Isaiah Thomas,BOS,202738,layup,low_paint,7.275,1.575,86.466,25.388,11.738,86.021,26.725
80,2,Q2 1:42.68,1337.32,16.49,Amir Johnson,BOS,101161,2pt_jump_shot,low_paint,8.1691,3.475,84.561,20.747,11.285,85.664,19.979
81,2,Q2 1:29.24,1350.76,10.91,Bojan Bogdanovic,BKN,202711,2pt_jump_shot,baseline_2,2.9048,4.084,10.32,6.778,11.476,10.886,7.793
82,2,Q2 1:11.44,1368.56,9.91,Evan Turner,BOS,202323,2pt_jump_shot,wing_2,0.8205,3.128,74.352,34.157,11.163,75.31,33.779
83,2,Q2 0:48.84,1391.16,5.69,Donald Sloan,BKN,202388,layup,low_paint,7.4655,2.314,5.441,28.18,13.307,6.328,27.453
84,2,Q2 0:36.65,1403.35,13.55,Jae Crowder,BOS,203109,2pt_jump_shot,low_paint,7.275,0.42,79.746,20.278,7.86,80.647,20.235
85,2,Q2 0:31.01,1408.99,18.8,Willie Reed,BKN,203186,layup,low_paint,9.7,8.642,4.917,25.932,10.92,4.517,24.722
86,2,Q2 0:13.01,1426.99,6.5,Kelly Olynyk,BOS,203482,dunk,low_paint,7.275,0.882,83.778,20.397,7.229,83.804,21.514
87,2,Q2 0:02.49,1437.51,5.0,Shane Larkin,BKN,203499,dunk,low_paint,7.275,1.878,4.84,25.927,11.222,5.787,24.861
88,3,Q3 11:46.83,1453.17,11.04,Jarrett Jack,BKN,101127,2pt_jump_shot,wing_2,0.8574,3.718,79.762,44.224,10.751,78.606,43.391
89,3,Q3 11:31.88,1468.12,11.3,Jared Sullinger,BOS,203096,2pt_jump_shot,low_paint,7.8092,2.881,13.276,22.948,10.751,12.619,23.426
90,3,Q3 11:29.32,1470.68,22.64,Amir Johnson,BOS,101161,2pt_jump_shot,low_paint,7.275,1.971,10.928,27.052,10.284,9.633,26.925
91,3,Q3 11:14.94,1485.06,14.64,Brook Lopez,BKN,201572,2pt_jump_shot,baseline_2,3.089,4.977,83.243,13.332,11.995,83.543,13.876
92,3,Q3 10:54.71,1505.29,12.76,Thaddeus Young,BKN,201152,2pt_jump_shot,low_paint,7.275,1.71,81.798,29.638,15.194,83.202,29.647
93,3,Q3 10:27.56,1532.44,1.61,Amir Johnson,BOS,101161,layup,low_paint,7.9157,3.057,5.086,23.524,11.476,6.084,24.395
94,3,Q3 10:21.38,1538.62,19.32,Jae Crowder,BOS,203109,2pt_jump_shot,baseline_2,2.7953,3.553,10.279,44.931,11.627,11.657,44.711
95,3,Q3 10:00.03,1559.97,16.74,Jared Sullinger,BOS,203096,layup,low_paint,9.7,7.376,7.465,23.66,9.762,7.59,22.304
96,3,Q3 9:22.28,1597.72,13.99,Jae Crowder,BOS,203109,2pt_jump_shot,baseline_2,3.087,4.967,8.211,6.18,11.587,8.571,7.606
97,3,Q3 8:34.69,1645.31,23.89,Evan Turner,BOS,202323,layup,low_paint,9.7,15.24,5.57,21.83,10.223,6.858,21.374
98,3,Q3 7:59.48,1680.52,6.79,Jared Sullinger,BOS,203096,2pt_jump_shot,wing_2,0.7598,2.157,16.457,15.193,14.085,16.261,16.676
99,3,Q3 7:47.68,1692.32,14.05,Jarrett Jack,BKN,101127,2pt_jump_shot,low_paint,9.7,9.3,89.228,18.254,8.927,87.938,19.016
100,3,Q3 6:49.93,1750.07,13.11,Joe Johnson,BKN,2207,2pt_jump_shot,wing_2,0.8137,3.019,76.033,41.468,11.109,74.906,40.58
101,3,Q3 6:32.30,1767.7,24.0,Kelly Olynyk,BOS,203482,2pt_jump_shot,low_paint,8.0539,3.285,11.698,23.934,11.249,12.174,22.572
102,3,Q3 6:27.68,1772.32,20.16,Bojan Bogdanovic,BKN,202711,layup,low_paint,7.275,1.609,84.657,26.517,7.261,84.413,25.47
103,3,Q3 6:05.43,1794.57,6.2,David Lee,BOS,101135,2pt_jump_shot,low_paint,7.3745,2.164,13.763,25.474,10.439,12.503,25.756
104,3,Q3 5:41.62,1818.38,5.94,Joe Johnson,BKN,2207,2pt_jump_shot,straight_up_2,3.318,3.272,72.819,22.946,11.251,73.309,24.12
105,3,Q3 5:40.22,1819.78,23.98,Bojan Bogdanovic,BKN,202711,layup,low_paint,8.1467,3.438,86.362,27.804,11.633,86.238,27.631
106,3,Q3 5:15.79,1844.21,13.2,Thaddeus Young,BKN,201152,2pt_jump_shot,low_paint,7.3595,2.139,81.56,26.614,10.232,82.446,26.73
107,3,Q3 4:39.00,1881.0,24.0,Brook Lopez,BKN,201572,dunk,low_paint,7.5164,2.398,89.069,25.876,10.8,87.719,25.876
108,3,Q3 4:28.40,1891.6,13.06,Kelly Olynyk,BOS,203482,2pt_jump_shot,baseline_2,2.9019,4.07,4.144,15.212,11.71,3.908,16.3
109,3,Q3 4:11.25,1908.75,12.95,Willie Reed,BKN,203186,2pt_jump_shot,straight_up_2,4.0,6.389,69.939,27.821,12.52,70.882,27.401
110,3,Q3 3:53.69,1926.31,11.43,Marcus Smart,BOS,203935,2pt_jump_shot,baseline_2,3.0258,4.67,4.546,44.522,11.6,5.341,43.836
